Home_Location,Qualification,Job_Domain,Employment_Type,Company_Size,Joining_Period,Experience_Years,Salary
Sakti,M.Com,MIS Executive,Full Time,Medium,45 Days,4,100000
Raigarh,B.Com,HR Executive,Contract,Small,Immediately,10,60000
Sakti,Diploma,Sales Executive,Full Time,Large,30 Days,6,60000
Mahasamund,10th Pass,Computer Operator,Part Time,Medium,30 Days,2,12000
Mahasamund,MA,Digital Marketing Executive,Contract,Large,45 Days,1,86000
Rajnandgaon,Diploma,Computer Operator,Full Time,Small,Immediately,2,20000
Sakti,MA,Digital Marketing Executive,Contract,Medium,Immediately,1,64000
Durg,BBA,Digital Marketing Executive,Intern,Medium,Immediately,1,24000
Raigarh,M.Com,Account Manager,Full Time,Small,45 Days,3,109000
Dhamtari,BCA,Digital Marketing Executive,Full Time,Medium,15 Days,2,59000
Korba,BCA,HR Executive,Full Time,Large,Immediately,2,64000
Jagdalpur,MA,Sales Executive,Full Time,Medium,30 Days,3,72000
Mahasamund,BBA,Accountant,Full Time,Medium,2 Months,2,56000
Ambikapur,BCA,Sales Executive,Full Time,Medium,2 Months,12,109000
Naila Janjgir,M.Com,HR Executive,Full Time,Medium,30 Days,16,150000
Naila Janjgir,10th Pass,Sales Executive,Part Time,Small,15 Days,0,12000
Mahasamund,10th Pass,Computer Operator,Full Time,Medium,30 Days,1,12000
Mahasamund,BBA,Customer Support,Part Time,Large,30 Days,2,35000
Dhamtari,BBA,Digital Marketing Executive,Contract,Small,15 Days,2,44000
Jagdalpur,Diploma,Accountant,Full Time,Small,45 Days,2,31000
Mahasamund,B.Com,HR Executive,Intern,Large,30 Days,2,20000
Bhilai,MA,Business Analyst,Full Time,Medium,30 Days,12,150000
Bhatapara,MA,Digital Marketing Executive,Full Time,Medium,45 Days,16,150000
Bilaspur,MA,Digital Marketing Executive,Full Time,Medium,30 Days,16,150000
Bhilai,BBA,MIS Executive,Contract,Medium,3 Months,7,85000
Sakti,BBA,Sales Executive,Part Time,Medium,15 Days,7,57000
Ambikapur,10th Pass,Sales Executive,Part Time,Medium,15 Days,0,12000
Jagdalpur,Diploma,Customer Support,Full Time,Small,2 Months,7,28000
Dalli-Rajhara,M.Com,MIS Executive,Contract,Large,30 Days,2,108000
Bemetra,BCA,Digital Marketing Executive,Full Time,Small,30 Days,5,67000
Korba,B.Com,Sales Executive,Part Time,Large,45 Days,6,55000
Chirmiri,10th Pass,Computer Operator,Full Time,Large,30 Days,7,22000
Dalli-Rajhara,10th Pass,Customer Support,Full Time,Small,3 Months,7,15000
Sakti,MBA,Business Analyst,Contract,Medium,2 Months,9,150000
Rajnandgaon,10th Pass,Customer Support,Part Time,Medium,30 Days,3,12000
Jagdalpur,10th Pass,Sales Executive,Intern,Small,45 Days,2,8000
Durg,10th Pass,Customer Support,Full Time,Medium,30 Days,1,12000
Dalli-Rajhara,10th Pass,Sales Executive,Full Time,Large,2 Months,2,23000
Rajnandgaon,B.Com,Digital Marketing Executive,Intern,Small,Immediately,1,16000
Naila Janjgir,MA,HR Executive,Full Time,Small,2 Months,8,84000
Naila Janjgir,Diploma,Sales Executive,Full Time,Large,30 Days,3,40000
Dhamtari,12th Pass,Customer Support,Full Time,Medium,Immediately,6,26000
Sakti,Diploma,Computer Operator,Full Time,Large,30 Days,7,43000
Durg,10th Pass,Computer Operator,Part Time,Large,30 Days,5,12000
Dalli-Rajhara,BCA,Account Manager,Full Time,Medium,15 Days,3,69000
Raigarh,10th Pass,Sales Executive,Full Time,Small,30 Days,2,14000
Manendragarh,B.Com,Business Analyst,Full Time,Medium,45 Days,11,116000
Ambikapur,B.Com,Account Manager,Full Time,Large,2 Months,4,77000
Tilda Newra,B.Com,Content Writer,Part Time,Small,Immediately,2,21000
Bhilai,12th Pass,Sales Executive,Contract,Small,30 Days,2,20000
Bemetra,12th Pass,Computer Operator,Full Time,Small,Immediately,6,20000
Tilda Newra,B.Com,HR Executive,Contract,Small,30 Days,4,39000
Korba,MBA,Account Manager,Full Time,Small,30 Days,2,118000
Raipur,BCA,Customer Support,Full Time,Large,45 Days,2,53000
Dalli-Rajhara,MA,Account Manager,Full Time,Small,Immediately,4,99000
Bhilai,MA,MIS Executive,Contract,Large,45 Days,2,87000
Bhilai,M.Com,MIS Executive,Full Time,Large,2 Months,10,150000
Mahasamund,M.Com,Business Analyst,Full Time,Large,3 Months,5,150000
Mahasamund,BCA,HR Executive,Full Time,Small,30 Days,4,53000
Bhatapara,M.Com,HR Executive,Contract,Medium,45 Days,17,150000
Korba,12th Pass,Accountant,Contract,Large,15 Days,9,40000
Mungeli,BA,Sales Executive,Full Time,Small,45 Days,7,44000
Bilaspur,10th Pass,Customer Support,Part Time,Large,Immediately,1,12000
Naila Janjgir,BBA,Customer Support,Full Time,Large,15 Days,1,53000
Rajnandgaon,BA,HR Executive,Full Time,Small,3 Months,6,45000
Bhatapara,B.Com,Digital Marketing Executive,Part Time,Large,45 Days,12,78000
Durg,BA,Account Manager,Full Time,Small,Immediately,13,70000
Tilda Newra,MA,MIS Executive,Part Time,Small,Immediately,8,57000
Bhatapara,BBA,Account Manager,Full Time,Medium,2 Months,5,81000
Bilaspur,B.Com,Digital Marketing Executive,Contract,Medium,Immediately,0,39000
Chirmiri,10th Pass,Computer Operator,Full Time,Small,30 Days,4,12000
Durg,B.Com,MIS Executive,Full Time,Large,30 Days,9,87000
Chirmiri,BBA,Account Manager,Full Time,Small,45 Days,6,86000
Bhilai,10th Pass,Sales Executive,Part Time,Large,30 Days,0,12000
Ambikapur,M.Com,HR Executive,Full Time,Large,15 Days,8,150000
Tilda Newra,BCA,Sales Executive,Full Time,Medium,15 Days,1,59000
Raigarh,10th Pass,Customer Support,Contract,Large,30 Days,3,16000
Bilaspur,Diploma,Computer Operator,Full Time,Large,3 Months,11,52000
Dhamtari,MA,MIS Executive,Full Time,Large,3 Months,7,147000
Mahasamund,B.Com,Account Manager,Full Time,Small,2 Months,9,83000
Mungeli,MA,Business Analyst,Full Time,Small,45 Days,17,150000
Raipur,10th Pass,Computer Operator,Full Time,Small,45 Days,4,12000
Bhatapara,Diploma,Sales Executive,Full Time,Small,2 Months,9,45000
Bhatapara,M.Com,Business Analyst,Full Time,Medium,Immediately,6,150000
Jagdalpur,BCA,MIS Executive,Full Time,Large,2 Months,7,115000
Korba,12th Pass,Customer Support,Full Time,Large,45 Days,5,31000
Bilaspur,BA,MIS Executive,Full Time,Small,Immediately,5,49000
Mahasamund,BCA,MIS Executive,Full Time,Large,15 Days,10,126000
Bemetra,M.Com,Digital Marketing Executive,Contract,Large,3 Months,7,150000
Bilaspur,BCA,Accountant,Full Time,Small,Immediately,1,41000
Jagdalpur,BCA,HR Executive,Full Time,Large,30 Days,3,74000
Mahasamund,10th Pass,Sales Executive,Part Time,Medium,30 Days,0,12000
Raigarh,BA,Sales Executive,Full Time,Large,2 Months,7,61000
Mahasamund,MA,HR Executive,Part Time,Small,30 Days,8,55000
Dalli-Rajhara,B.Com,Sales Executive,Full Time,Medium,Immediately,2,49000
Mahasamund,10th Pass,Customer Support,Contract,Large,30 Days,3,17000
Manendragarh,Diploma,Computer Operator,Part Time,Small,30 Days,10,19000
Dhamtari,10th Pass,Sales Executive,Full Time,Large,45 Days,2,22000
Ambikapur,BBA,HR Executive,Intern,Medium,3 Months,3,21000
Mungeli,12th Pass,Accountant,Intern,Medium,15 Days,10,19000
Chirmiri,BBA,Account Manager,Contract,Large,Immediately,3,90000
Mungeli,12th Pass,Computer Operator,Full Time,Large,45 Days,6,26000
Jagdalpur,M.Com,Account Manager,Part Time,Medium,15 Days,15,129000
Raigarh,BCA,Accountant,Part Time,Small,15 Days,1,27000
Naila Janjgir,BCA,Account Manager,Full Time,Medium,3 Months,5,79000
Bilaspur,B.Com,HR Executive,Full Time,Medium,45 Days,7,63000
Mahasamund,10th Pass,Sales Executive,Part Time,Medium,3 Months,6,15000
Raigarh,10th Pass,Customer Support,Intern,Small,Immediately,3,8000
Dalli-Rajhara,BCA,Account Manager,Full Time,Large,2 Months,5,116000
Ambikapur,BCA,Digital Marketing Executive,Full Time,Large,30 Days,2,76000
Tilda Newra,Diploma,Content Writer,Full Time,Small,30 Days,5,31000
Durg,10th Pass,Customer Support,Full Time,Large,Immediately,5,19000
Raigarh,MA,HR Executive,Full Time,Large,2 Months,7,134000
Tilda Newra,MBA,MIS Executive,Full Time,Medium,30 Days,9,150000
Bhilai,MBA,Digital Marketing Executive,Full Time,Small,2 Months,12,150000
Mahasamund,Diploma,Content Writer,Full Time,Small,3 Months,5,29000
Ambikapur,Diploma,Computer Operator,Full Time,Small,30 Days,4,23000
Bemetra,MA,Digital Marketing Executive,Full Time,Medium,30 Days,8,124000
Bilaspur,Diploma,Content Writer,Full Time,Medium,15 Days,4,33000
Manendragarh,BBA,Sales Executive,Part Time,Large,15 Days,0,37000
Manendragarh,MBA,MIS Executive,Contract,Medium,15 Days,4,130000
Ambikapur,B.Com,Digital Marketing Executive,Intern,Large,2 Months,11,39000
Manendragarh,MA,Account Manager,Full Time,Medium,3 Months,8,123000
Raipur,Diploma,Accountant,Full Time,Medium,30 Days,4,41000
Bilaspur,MA,HR Executive,Full Time,Large,45 Days,14,150000
Naila Janjgir,Diploma,Content Writer,Full Time,Small,30 Days,4,28000
Bhatapara,M.Com,Business Analyst,Full Time,Small,45 Days,7,135000
Raigarh,12th Pass,Content Writer,Full Time,Small,45 Days,4,24000
Dalli-Rajhara,MA,Digital Marketing Executive,Contract,Medium,45 Days,2,68000
Bhatapara,BA,Business Analyst,Contract,Small,15 Days,6,50000
Korba,MA,Account Manager,Full Time,Medium,2 Months,19,150000
Bhatapara,MBA,Business Analyst,Full Time,Medium,30 Days,8,150000
Chirmiri,MA,HR Executive,Full Time,Large,3 Months,8,138000
Raigarh,10th Pass,Sales Executive,Part Time,Medium,30 Days,7,14000
Bhilai,BCA,Business Analyst,Full Time,Small,30 Days,4,86000
Mahasamund,12th Pass,Accountant,Full Time,Small,2 Months,6,31000
Dalli-Rajhara,10th Pass,Sales Executive,Full Time,Large,2 Months,3,21000
Jagdalpur,BA,MIS Executive,Full Time,Large,45 Days,12,93000
Jagdalpur,10th Pass,Computer Operator,Contract,Large,2 Months,7,21000
Dhamtari,12th Pass,Computer Operator,Full Time,Large,15 Days,1,18000
Sakti,MA,Digital Marketing Executive,Full Time,Medium,30 Days,10,136000
Manendragarh,B.Com,Customer Support,Full Time,Small,Immediately,2,32000
Bhatapara,B.Com,Digital Marketing Executive,Full Time,Medium,45 Days,6,79000
Dhamtari,BA,Business Analyst,Full Time,Large,30 Days,3,79000
Dalli-Rajhara,10th Pass,Computer Operator,Part Time,Medium,15 Days,1,12000
Korba,10th Pass,Customer Support,Full Time,Large,15 Days,4,18000
Mahasamund,Diploma,Customer Support,Full Time,Small,45 Days,4,24000
Tilda Newra,MA,MIS Executive,Contract,Small,Immediately,4,69000
Raigarh,Diploma,Accountant,Part Time,Large,3 Months,11,52000
Bemetra,12th Pass,Computer Operator,Intern,Medium,15 Days,0,8000
Bilaspur,10th Pass,Sales Executive,Full Time,Small,2 Months,8,21000
Mungeli,B.Com,Business Analyst,Full Time,Small,45 Days,4,65000
Raipur,BCA,Business Analyst,Full Time,Medium,15 Days,3,86000
Sakti,12th Pass,Computer Operator,Full Time,Medium,2 Months,10,27000
Bhilai,12th Pass,Accountant,Full Time,Large,3 Months,9,58000
Bhatapara,10th Pass,Computer Operator,Full Time,Medium,30 Days,0,12000
Dhamtari,Diploma,Accountant,Full Time,Large,2 Months,5,50000
Mungeli,10th Pass,Customer Support,Full Time,Small,15 Days,5,15000
Bemetra,BBA,Account Manager,Full Time,Medium,2 Months,13,143000
Korba,BBA,Digital Marketing Executive,Full Time,Small,45 Days,7,64000
Jagdalpur,BBA,Customer Support,Contract,Small,15 Days,0,26000
Bemetra,BCA,Customer Support,Full Time,Medium,15 Days,0,37000
Bhatapara,B.Com,Digital Marketing Executive,Part Time,Large,Immediately,1,38000
Bhilai,MBA,Digital Marketing Executive,Contract,Small,45 Days,15,150000
Durg,10th Pass,Sales Executive,Full Time,Large,2 Months,5,28000
Durg,MA,Account Manager,Contract,Large,30 Days,12,150000
Raigarh,M.Com,Digital Marketing Executive,Full Time,Large,45 Days,10,150000
Manendragarh,M.Com,Sales Executive,Full Time,Large,30 Days,3,119000
Raigarh,M.Com,Business Analyst,Full Time,Medium,2 Months,8,150000
Dhamtari,M.Com,HR Executive,Full Time,Large,2 Months,13,150000
Raipur,M.Com,Sales Executive,Full Time,Large,45 Days,4,115000
Bhilai,B.Com,Accountant,Part Time,Small,30 Days,1,24000
Chirmiri,10th Pass,Sales Executive,Part Time,Medium,15 Days,2,12000
Bhilai,Diploma,Accountant,Contract,Small,30 Days,4,29000
Bhatapara,B.Com,Sales Executive,Full Time,Small,30 Days,12,64000
Durg,Diploma,Sales Executive,Full Time,Small,2 Months,7,35000
Bhilai,BCA,Account Manager,Contract,Small,30 Days,6,73000
Korba,10th Pass,Customer Support,Full Time,Large,15 Days,5,20000
Mungeli,BA,MIS Executive,Contract,Small,3 Months,14,55000
Bhilai,Diploma,Sales Executive,Full Time,Medium,3 Months,8,48000
Jagdalpur,BA,Digital Marketing Executive,Full Time,Large,45 Days,3,60000
Dhamtari,BCA,MIS Executive,Contract,Medium,15 Days,3,64000
Raigarh,BCA,Customer Support,Part Time,Large,45 Days,0,28000
Bemetra,B.Com,Account Manager,Intern,Large,30 Days,9,48000
Tilda Newra,BBA,Business Analyst,Full Time,Small,2 Months,5,81000
Durg,12th Pass,Accountant,Full Time,Medium,3 Months,10,46000
Manendragarh,12th Pass,Sales Executive,Full Time,Medium,45 Days,2,25000
Korba,BA,Digital Marketing Executive,Full Time,Small,15 Days,5,43000
Manendragarh,M.Com,MIS Executive,Full Time,Small,Immediately,3,76000
Bhilai,MBA,Digital Marketing Executive,Full Time,Large,2 Months,17,150000
Jagdalpur,B.Com,Account Manager,Full Time,Small,3 Months,11,88000
Korba,B.Com,Account Manager,Part Time,Medium,15 Days,3,34000
Rajnandgaon,12th Pass,Computer Operator,Full Time,Small,30 Days,2,15000
Bemetra,10th Pass,Customer Support,Full Time,Small,3 Months,9,17000
Naila Janjgir,Diploma,Accountant,Full Time,Medium,45 Days,4,42000
Chirmiri,M.Com,Account Manager,Full Time,Medium,45 Days,19,150000
Dalli-Rajhara,BBA,HR Executive,Full Time,Medium,30 Days,7,70000
Raipur,BA,Sales Executive,Full Time,Small,3 Months,6,44000
Rajnandgaon,B.Com,HR Executive,Full Time,Small,15 Days,5,51000
Korba,MBA,Digital Marketing Executive,Intern,Small,30 Days,10,65000
Jagdalpur,Diploma,Computer Operator,Full Time,Small,45 Days,1,18000
Tilda Newra,BA,HR Executive,Full Time,Medium,3 Months,11,63000
Sakti,MBA,HR Executive,Contract,Medium,2 Months,10,141000
Raigarh,MBA,Business Analyst,Full Time,Medium,2 Months,10,150000
Raigarh,10th Pass,Computer Operator,Contract,Medium,45 Days,2,12000
Sakti,M.Com,MIS Executive,Full Time,Small,3 Months,12,146000
Raipur,B.Com,HR Executive,Full Time,Medium,45 Days,11,75000
Bilaspur,MBA,Digital Marketing Executive,Full Time,Small,45 Days,5,124000
Naila Janjgir,BCA,Digital Marketing Executive,Part Time,Large,30 Days,4,49000
Naila Janjgir,BCA,HR Executive,Full Time,Small,45 Days,6,59000
Dhamtari,MBA,Account Manager,Full Time,Medium,45 Days,15,150000
Jagdalpur,BCA,Content Writer,Intern,Large,45 Days,2,25000
Mahasamund,M.Com,MIS Executive,Full Time,Medium,30 Days,7,132000
Naila Janjgir,B.Com,Sales Executive,Part Time,Large,2 Months,7,54000
Dhamtari,MBA,Business Analyst,Full Time,Large,30 Days,15,150000
Bhilai,12th Pass,Computer Operator,Part Time,Small,2 Months,0,12000
Naila Janjgir,Diploma,Content Writer,Full Time,Large,15 Days,5,46000
Tilda Newra,Diploma,Content Writer,Part Time,Medium,15 Days,1,17000
Ambikapur,BA,Digital Marketing Executive,Full Time,Small,15 Days,2,40000
Durg,10th Pass,Customer Support,Part Time,Small,45 Days,0,12000
Bhilai,BA,Digital Marketing Executive,Full Time,Large,15 Days,0,45000
Bilaspur,BBA,Account Manager,Full Time,Large,30 Days,5,108000
Rajnandgaon,BA,Digital Marketing Executive,Full Time,Small,Immediately,11,62000
Manendragarh,MA,Sales Executive,Full Time,Large,45 Days,2,87000
Raipur,MA,Business Analyst,Part Time,Small,2 Months,14,89000
Bilaspur,MBA,Sales Executive,Full Time,Medium,45 Days,1,97000
Tilda Newra,MBA,MIS Executive,Part Time,Large,3 Months,10,143000
Raigarh,BA,Customer Support,Contract,Medium,Immediately,1,23000
Naila Janjgir,BCA,Content Writer,Full Time,Small,15 Days,0,37000
Raigarh,MA,HR Executive,Full Time,Large,3 Months,14,150000
Tilda Newra,10th Pass,Sales Executive,Contract,Large,30 Days,3,21000
Raigarh,M.Com,HR Executive,Part Time,Small,15 Days,2,39000
Korba,BBA,Digital Marketing Executive,Full Time,Small,30 Days,5,68000
Rajnandgaon,10th Pass,Sales Executive,Full Time,Medium,30 Days,1,15000
Rajnandgaon,10th Pass,Sales Executive,Full Time,Medium,30 Days,0,15000
Sakti,Diploma,Customer Support,Full Time,Large,15 Days,3,34000
Bilaspur,BA,Sales Executive,Full Time,Medium,30 Days,6,55000
Dhamtari,BA,MIS Executive,Full Time,Small,Immediately,5,45000
Dalli-Rajhara,MBA,HR Executive,Contract,Medium,Immediately,11,139000
Ambikapur,Diploma,Customer Support,Full Time,Medium,2 Months,7,41000
Durg,10th Pass,Computer Operator,Full Time,Large,2 Months,2,14000
Bhatapara,BBA,Digital Marketing Executive,Part Time,Medium,45 Days,2,36000
Rajnandgaon,B.Com,Sales Executive,Full Time,Large,2 Months,5,74000
Bemetra,BCA,Digital Marketing Executive,Contract,Small,30 Days,11,80000
Durg,B.Com,Business Analyst,Full Time,Medium,2 Months,10,102000
Dalli-Rajhara,B.Com,Digital Marketing Executive,Full Time,Medium,45 Days,11,93000
Raigarh,BCA,HR Executive,Full Time,Medium,30 Days,3,56000
Mungeli,MA,MIS Executive,Full Time,Medium,45 Days,7,101000
Bilaspur,MA,Account Manager,Full Time,Small,3 Months,6,100000
Ambikapur,MA,Business Analyst,Contract,Medium,2 Months,7,118000
Korba,BBA,Customer Support,Full Time,Large,30 Days,1,52000
Rajnandgaon,MBA,HR Executive,Full Time,Large,45 Days,11,150000
Rajnandgaon,BCA,MIS Executive,Part Time,Medium,2 Months,9,52000
Mungeli,BBA,Sales Executive,Full Time,Small,30 Days,15,99000
Bemetra,M.Com,Digital Marketing Executive,Full Time,Large,3 Months,10,150000
Bemetra,M.Com,Business Analyst,Full Time,Large,15 Days,9,150000
Ambikapur,BA,Digital Marketing Executive,Full Time,Medium,15 Days,10,74000
Tilda Newra,Diploma,Customer Support,Full Time,Small,15 Days,3,26000
Bhatapara,BBA,Sales Executive,Contract,Large,Immediately,0,55000
Bhatapara,MBA,HR Executive,Contract,Medium,3 Months,2,92000
Mahasamund,M.Com,HR Executive,Full Time,Small,45 Days,5,87000
Sakti,B.Com,Digital Marketing Executive,Full Time,Medium,30 Days,9,81000
Raipur,12th Pass,Customer Support,Full Time,Medium,30 Days,1,18000
Chirmiri,M.Com,Digital Marketing Executive,Part Time,Small,3 Months,7,69000
Naila Janjgir,M.Com,Digital Marketing Executive,Contract,Large,45 Days,2,107000
Dalli-Rajhara,MA,MIS Executive,Full Time,Large,15 Days,10,144000
Sakti,BCA,HR Executive,Full Time,Medium,3 Months,14,102000
Dhamtari,BCA,Digital Marketing Executive,Full Time,Large,30 Days,4,83000
Korba,MBA,Digital Marketing Executive,Full Time,Small,3 Months,5,121000
Mungeli,12th Pass,Customer Support,Full Time,Small,3 Months,9,25000
Naila Janjgir,BBA,Account Manager,Full Time,Medium,45 Days,3,77000
Mungeli,BBA,Account Manager,Full Time,Large,30 Days,9,126000
Raigarh,BBA,Account Manager,Full Time,Medium,2 Months,9,130000
Bemetra,BBA,Account Manager,Intern,Large,3 Months,7,53000
Durg,BBA,Business Analyst,Full Time,Large,30 Days,9,150000
Dhamtari,M.Com,Digital Marketing Executive,Full Time,Small,45 Days,15,150000
Sakti,Diploma,Accountant,Full Time,Large,45 Days,2,40000
Bhilai,M.Com,MIS Executive,Full Time,Large,45 Days,16,150000
Dalli-Rajhara,MA,Business Analyst,Full Time,Large,3 Months,9,150000
Bhilai,BCA,MIS Executive,Full Time,Small,45 Days,6,74000
Durg,BA,Business Analyst,Full Time,Medium,2 Months,4,58000
Bhatapara,MBA,Account Manager,Full Time,Medium,45 Days,8,150000
Jagdalpur,MA,Digital Marketing Executive,Full Time,Small,45 Days,16,150000
Bhatapara,BCA,HR Executive,Part Time,Large,15 Days,12,73000
Manendragarh,Diploma,Sales Executive,Full Time,Medium,30 Days,9,60000
Naila Janjgir,BA,HR Executive,Full Time,Medium,3 Months,11,60000
Korba,BCA,Accountant,Full Time,Large,Immediately,1,71000
Bhilai,B.Com,Business Analyst,Full Time,Medium,2 Months,9,106000
Bhatapara,BCA,Digital Marketing Executive,Full Time,Medium,30 Days,7,89000
Korba,10th Pass,Customer Support,Intern,Medium,30 Days,0,8000
Mungeli,BA,HR Executive,Part Time,Medium,Immediately,0,17000
Bemetra,12th Pass,Accountant,Full Time,Medium,30 Days,9,42000
Sakti,B.Com,Sales Executive,Contract,Small,45 Days,5,46000
Korba,M.Com,HR Executive,Full Time,Small,2 Months,7,97000
Mungeli,BA,Digital Marketing Executive,Full Time,Medium,45 Days,6,58000
Bemetra,B.Com,MIS Executive,Full Time,Medium,30 Days,12,87000
Bemetra,10th Pass,Sales Executive,Full Time,Medium,45 Days,4,21000
Sakti,BBA,Sales Executive,Full Time,Large,30 Days,7,103000
Bemetra,BCA,HR Executive,Contract,Medium,Immediately,3,56000
Ambikapur,BCA,Customer Support,Part Time,Medium,2 Months,1,23000
Chirmiri,BA,Accountant,Full Time,Medium,30 Days,2,40000
Raigarh,MBA,Business Analyst,Full Time,Medium,45 Days,8,150000
Naila Janjgir,BBA,HR Executive,Part Time,Large,45 Days,7,54000
